Num_Name	Epoch	q	e	i	w	Node	Tp	Ref
1P/Halley	49400	0.58597811	0.96714291	162.26269	111.33249	58.42008	19860205.9	JPLJ863/77
2P/Encke	56580	0.33612614	0.84823153	11.77894	186.53535	334.57346	20131121.69	JPLK105/5
3D/Biela	-9480	0.879073	0.751299	13.2164	221.6588	250.669	18321126.62	IAUCAT03
4P/Faye	56717	1.6550406	0.56850952	9.05002	205.06504	199.27533	20140529.61	JPLK144/3
5D/Brorsen	7440	0.589847	0.809796	29.3821	14.9468	102.9676	18790331.03	IAUCAT03
6P/d'Arrest	56720	1.36137306	0.61132154	19.48173	178.13587	138.93629	20150302.46	JPLK155/1
7P/Pons-Winnecke	56646	1.24111361	0.63736536	22.34029	172.4012	93.43295	20150130.53	JPLK088/12
8P/Tuttle	54374	1.02711659	0.81979975	54.98318	207.50925	270.34165	20080127.03	JPLK074/27
9P/Tempel 1	56717	1.53363978	0.51159444	10.50258	179.30313	68.88181	20160802.02	JPL158
10P/Tempel 2	56717	1.41933839	0.53682492	12.02889	195.5209	117.80727	20151114.51	JPLK1013/8
11P/Tempel-Swift-LINEAR	52320	1.58407204	0.53916516	13.46043	163.63395	240.7105	20011230.76	JPLK0116/15
12P/Pons-Brooks	35000	0.77366709	0.95481239	74.17689	199.02847	255.89114	19540522.88	JPL15
13P/Olbers	35760	1.17845061	0.93029715	44.60989	64.64121	86.10313	19560619.14	JPL10
14P/Wolf	55320	2.72480165	0.35782833	27.94305	159.04876	202.11538	20090227.44	JPLK078/6
15P/Finlay	54841	0.9700121	0.72144262	6.81683	347.49599	13.80664	20080622.57	JPLK085/10
16P/Brooks 2	54740	1.46657322	0.56277224	4.25806	219.47916	159.36841	20080412.6	JPLK074/5
17P/Holmes	56717	2.05660056	0.43189021	19.09157	24.51447	326.76465	20140327.51	JPLK077/31
18D/Perrine-Mrkos	40240	1.27224808	0.64258098	17.75898	166.05042	240.87555	19681101.54	JPLJ682/18
19P/Borrelly	55240	1.35364762	0.62467463	30.33069	353.35805	75.42083	20080722.39	JPLK086/2
20D/Westphal	20080	1.25401276	0.91983119	40.89006	57.08095	348.00645	19131126.79	JPL19
21P/Giacobini-Zinner	56498	1.03069627	0.70681789	31.9081	172.58442	195.39701	20120211.63	JPLK123/6
22P/Kopff	56660	1.56509584	0.54664049	4.73496	162.68872	120.86485	20151025.4	JPLK154/3
23P/Brorsen-Metcalf	47800	0.47875271	0.97195226	19.33394	129.61068	311.58546	19890911.94	JPL13
24P/Schaumasse	52120	1.20501004	0.70480036	11.75153	57.87449	79.83104	20010502.66	JPLK014/19
25D/Neujmin 2	24960	1.33816965	0.5668186	10.63871	193.70403	328.71695	19270116.22	JPL7
